month,day,hour,PM10,PM2.5,NO2,O3,Wind Speed,Wind Direction,Temperature,Relative Humidity,Air Pressure,datetime
1,2,20,51.0,28.255555555555556,49.0,9.0,0.225,168.5,30.587500000000002,53.875,1011.75,2024-01-02 20:00:00
1,2,21,61.6,32.0,48.0,18.0,0.3125,216.625,29.9125,57.625,1012.125,2024-01-02 21:00:00
1,2,22,65.0,37.511111111111106,56.0,12.0,0.275,211.125,29.5125,60.125,1013.0,2024-01-02 22:00:00
1,2,23,70.0,40.56666666666667,57.0,10.0,0.2375,131.75,29.125,61.875,1013.0,2024-01-02 23:00:00
1,3,0,77.2,43.766666666666666,56.0,10.0,0.1625,105.5,28.5875,64.5,1013.0,2024-01-03 00:00:00
1,3,1,74.4,41.55555555555556,51.0,11.0,0.17500000000000002,121.5,28.1,66.375,1012.875,2024-01-03 01:00:00
1,3,2,73.0,41.43333333333333,52.0,9.0,0.1625,166.125,27.6125,68.5,1012.125,2024-01-03 02:00:00
1,3,3,67.8,39.51111111111111,42.0,9.0,0.175,197.875,27.2375,70.75,1011.875,2024-01-03 03:00:00
1,3,4,64.8,43.65555555555556,40.0,9.0,0.21250000000000002,189.875,26.7875,72.75,1011.625,2024-01-03 04:00:00
1,3,5,63.4,40.65555555555555,39.0,10.0,0.275,160.375,26.5125,71.625,1011.75,2024-01-03 05:00:00
1,3,6,61.2,36.8,36.0,12.0,0.3625,163.125,26.575,67.25,1012.0,2024-01-03 06:00:00
1,3,7,68.6,37.78888888888889,44.0,10.0,0.35,148.375,26.1,68.125,1012.75,2024-01-03 07:00:00
1,3,8,66.2,41.855555555555554,43.0,11.0,0.3125,177.0,26.425,67.125,1013.125,2024-01-03 08:00:00
1,3,9,77.0,35.766666666666666,44.0,12.0,0.525,146.375,28.2125,57.875,1014.0,2024-01-03 09:00:00
1,3,10,67.4,27.7,39.0,20.0,0.8375,114.25,30.1875,48.75,1014.125,2024-01-03 10:00:00
1,3,11,50.0,23.022222222222222,35.0,32.0,0.9,97.75,31.625,44.25,1013.875,2024-01-03 11:00:00
1,3,12,49.8,20.811111111111114,31.0,40.0,0.9375,103.875,32.7,40.875,1013.125,2024-01-03 12:00:00
1,3,13,40.8,20.72222222222222,27.0,48.0,0.7375,92.375,33.45,37.625,1012.0,2024-01-03 13:00:00
1,3,14,34.0,16.9,33.0,45.0,0.725,86.375,34.1125,35.375,1010.875,2024-01-03 14:00:00
1,3,15,33.0,18.955555555555556,30.0,53.0,0.65,113.25,34.35,34.0,1010.0,2024-01-03 15:00:00
1,3,16,36.2,16.233333333333334,29.0,53.0,0.625,116.25,34.425,32.5,1009.875,2024-01-03 16:00:00
1,3,17,32.8,18.77777777777778,37.0,43.0,0.575,118.125,33.9375,34.125,1010.0,2024-01-03 17:00:00
1,3,18,35.8,18.044444444444444,43.0,30.0,0.55,137.875,32.85,36.625,1010.625,2024-01-03 18:00:00
1,3,19,42.0,24.12222222222222,52.0,14.0,0.325,149.75,31.575000000000003,41.125,1011.0,2024-01-03 19:00:00
1,3,20,67.2,27.6,58.0,9.0,0.25,152.375,30.537499999999998,45.75,1011.375,2024-01-03 20:00:00
1,3,21,80.2,30.988888888888887,59.0,9.0,0.2125,160.875,29.7125,49.625,1012.0,2024-01-03 21:00:00
1,3,22,73.4,37.7625,67.0,9.0,0.25,171.25,29.2625,51.875,1012.125,2024-01-03 22:00:00
1,3,23,78.4,58.51111111111111,59.0,9.0,0.2,106.125,28.7625,54.0,1012.75,2024-01-03 23:00:00
